NLB1.DE,Nobel Biocare Holding AG,GER,Germany,,0,,
BKUT,Bank of Utica,PNK,USA,,0,,
3063-OL.HK,X DBCSI300TRANS,HKG,Hong Kong,,0,,
LXK,Lexmark International Inc.,NYQ,USA,Computer Based Systems,812,,
PRTY,Party City Holdco Inc.,NYQ,USA,"Specialty Retail, Other",745,,
SSL,Sasol Ltd.,NYQ,USA,Major Integrated Oil & Gas,120,,
PP1.MU,PAPA JOHNS INTL,MUN,Germany,Restaurants,712,,
21X.F,PROMETH WORLD,FRA,Germany,,0,,
0885.HK,Rentian Technology Holdings Limited,HKG,Hong Kong,Air Delivery & Freight Services,773,,
BGH,Babson Capital Global Short Duration High Yield Fund,NYQ,USA,,0,,
AVID,"Avid Technology, Inc.",NMS,USA,Multimedia & Graphics Software,820,,
QU8.SG,QUNAR CAYM SP ADS-B,STU,Germany,,0,,
GWO-PQ.TO,GREAT WEST LIFECO PREF SER Q,TOR,Canada,,0,,
RY4C.IR,RYANAIR HLDGS,ISE,UK,,0,,
8107.TWO,KENMOS TECHNOLOGY TWD10,TWO,Taiwan,,0,,
VTC.L,The Vitec Group plc,LSE,UK,Communication Equipment,841,,
716156.TWO,JIH SUN SECURITIES C/W 27/07/15,TWO,Taiwan,,0,,
000040.KS,"KR Motors Co., Ltd.",KSC,Korea,,0,,
CS.PA,AXA Group,PAR,France,Property & Casualty Insurance,432,,
OCI1.DE,"Actividades de Construcción y Servicios, S.A.",GER,Germany,General Contractors,636,,
YOHOF,Yoho Resources Inc.,PNK,USA,,0,,
WIMHF,William Hill plc,PNK,USA,,0,,
GCHE.ME,Public Joint Stock Company Cherkizovo Group,MCX,India,,0,,
USCS,USCorp,PNK,USA,Gold,134,,
O5H.DE,OpenLimit Holding AG,GER,Germany,Business Software & Services,826,,
BK-PC,Bank Of New York Mellon Corpora,NYQ,USA,,0,,
BVWN,"Broadview Networks Holdings, Inc.",PNK,USA,,0,,
ASG,"Liberty All-Star Growth Fund, Inc.",NYQ,USA,,0,,
N9M.MU,NAUTILUS MINERALS,MUN,Germany,Industrial Metals & Minerals,133,,
FLIC,The First of Long Island Corporation,NCM,Australia,Regional - Northeast Banks,411,,
CBA,ClearBridge American Energy MLP Fund Inc.,NYQ,USA,,0,,
HNT,"Health Net, Inc.",NYQ,USA,Health Care Plans,522,,
003960.KS,Sajodaerim Corporation,KSC,Korea,,0,,
K1Q.SI,T T J Holdings Limited,SES,Singapore,General Contractors,636,,
ZENTEC-EQ.NS,ZEN TECHNOLOGIES LIMITED,NSI,India,,0,,
NFTGF,"NuFlare Technology, Inc.",PNK,USA,,0,,
IIN,Intricon Corp.,NGM,Sweden,Industrial Electrical Equipment,627,,
XIA.V,Xiana Mining Inc.,VAN,Canada,,0,,
ROCEF,Lithium X Energy Corp.,PNK,USA,,0,,
JTNB,"JTNB Bancorp, Inc.",PNK,USA,,0,,
AMDA,Amedica Corporation,NCM,Australia,Medical Appliances & Equipment,521,,
YAMCY,Yamaha Corporation,PNK,USA,,0,,
CNOB,"ConnectOne Bancorp, Inc.",NMS,USA,Regional - Northeast Banks,411,,
NWCN,"Network CN, Inc.",PNK,USA,,0,,
716552.TWO,JIH SUN SECURITIES C/W 24/08/15,TWO,Taiwan,,0,,
VRCI,"Verde Science, Inc.",PNK,USA,,0,,
MEXCHEM.MX,"Mexichem, S.A.B. de C.V.",MEX,Mexico,Chemicals - Major Diversified,110,,
SHLD,Sears Holdings Corporation,NMS,USA,Department Stores,731,,
PM6.F,POLYMETAL INTL,FRA,Germany,,0,,
DISI.TA,Discount Investment Corporation Limited,TLV,Israel,,0,,
JD,"JD.com, Inc.",NMS,USA,Internet Information Providers,851,,
LTEL3BF.SA,LITEL       ON      MB,SAO,Brazil,,0,,
VTL,"Vital Therapies, Inc.",NMS,USA,Biotechnology,515,,
UNQ.DU,UBM,DUS,Germany,Marketing Services,721,,
0826.HK,"Tiangong International Company, Limited",HKG,Hong Kong,Steel & Iron,130,,
QD4.F,QUANTUM ENERGY,FRA,Germany,Home Furnishings & Fixtures,311,,
WGEE,WGE Holdings Corp.,PNK,USA,,0,,
7KL.BE,KULA GOLD,BER,Germany,,0,,
